'2019-05-16 14:33:05.149426', ' ', ' ', ' ', ' ', '0',('127.0.0.1', 56230)
'2019-05-16 14:33:10.249718', ' ', ' ', ' ', ' ', '0',('127.0.0.1', 56230)
'2019-05-16 23:37:30.329777', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2273)
'2019-05-16 23:37:35.431085', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2273)
'2019-05-16 23:38:43.774080', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2277)
'2019-05-16 23:38:48.876206', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2277)
'2019-05-16 23:39:26.990232', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2283)
'2019-05-16 23:39:32.091616', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2283)
'2019-05-16 23:41:27.672692', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:32.774721', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:37.876034', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:42.977467', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:48.079198', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:53.180908', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:58.282505', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:42:22.397747', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:27.499525', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:32.601580', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:37.702929', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:42.804498', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:47.905706', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:53.006850', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:52:24.277525', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:52:29.378811', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:52:34.480002', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:52:39.582015', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:59:54.405322', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2361)
'2019-05-16 23:59:59.506748', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2361)
'2019-05-17 00:00:04.608264', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2361)
'2019-05-17 00:00:09.709914', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2361)
'2019-05-17 00:00:14.811439', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2361)
'2019-05-17 00:00:19.913548', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2361)
'2019-05-17 00:00:25.015325', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2361)
'2019-05-17 00:11:54.228047', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2502)
'2019-05-17 00:11:59.329693', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2502)
'2019-05-17 00:12:04.431429', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2502)
'2019-05-17 00:12:09.533276', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2502)
'2019-05-17 00:12:14.634862', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2502)
'2019-05-17 00:16:58.202892', '', '', '', '', '10',('127.0.0.1': 2550)
'2019-05-17 00:17:03.304110', '', '', '', '', '10',('127.0.0.1': 2550)
'2019-05-17 00:17:08.405970', '', '', '', '', '10',('127.0.0.1': 2550)
'2019-05-17 00:19:04.452206', 'np.nan', 'np.nan', 'np.nan', 'np.nan', '10',('127.0.0.1': 2560)
'2019-05-17 00:19:09.553668', 'np.nan', 'np.nan', 'np.nan', 'np.nan', '10',('127.0.0.1': 2560)
'2019-05-17 00:21:36.175242', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2581)
'2019-05-17 00:21:41.276769', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2581)
'2019-05-17 00:21:46.378492', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2581)
'2019-05-17 00:21:51.480582', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2581)
'2019-05-17 00:25:35.042037', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2592)
'2019-05-17 00:25:40.143987', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2592)
'2019-05-17 00:25:45.245993', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2592)
'2019-05-17 00:25:50.348249', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2592)
'2019-05-17 00:25:55.449329', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2592)
'2019-05-17 01:08:40.498928', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2814)
'2019-05-17 01:08:45.601016', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2814)
